"id","year","month","weekday","time_period","death","injuries","neighbourhood","longitude","latitude"
1669,2011,"April","Monday","Night",0,0,"Golfdale-Cedarbrae-Woburn",-79.2190216919,43.7636515109
1670,2011,"April","Monday","Afternoon",0,0,"Regent Park",-79.36353296,43.6613700005
1671,2011,"April","Tuesday","Afternoon",0,1,"Glenfield-Jane Heights",-79.5113426192,43.7501180816
1673,2011,"April","Thursday","Afternoon",0,1,"Moss Park",-79.3656424567,43.6567910959
1674,2011,"April","Sunday","Night",0,1,"Regent Park",-79.3623298618,43.6629743021
1675,2011,"April","Tuesday","Afternoon",0,1,"Humber Summit",-79.5706673289,43.7584764132
1677,2011,"April","Tuesday","Evening",0,1,"Elms-Old Rexdale",-79.5456654432,43.7212601616
1678,2011,"April","Saturday","Evening",0,1,"Englemount-Lawrence",-79.4438748418,43.7194906566
1683,2011,"May","Tuesday","Evening",0,1,"Glenfield-Jane Heights",-79.5183677107,43.7513575809
1684,2011,"May","Tuesday","Afternoon",0,1,"Black Creek",-79.5225325123,43.7675103832
1685,2011,"May","Thursday","Evening",0,0,"Glenfield-Jane Heights",-79.5103932184,43.7492116795
1686,2011,"May","Friday","Evening",0,0,"Black Creek",-79.5154576133,43.757882085
1689,2011,"May","Sunday","Night",0,0,"Malvern West",-79.2286320745,43.8094145264
1693,2011,"May","Monday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.586595568,43.737158576
1695,2011,"May","Sunday","Evening",1,0,"Mount Olive-Silverstone-Jamestown",-79.5933505643,43.7387753734
1697,2011,"May","Sunday","Night",0,3,"Kensington-Chinatown",-79.401770334,43.6538804946
1698,2011,"June","Wednesday","Evening",0,0,"Humber Summit",-79.5675115092,43.7550942025
1701,2011,"June","Friday","Evening",0,0,"Rockcliffe-Smythe",-79.4937485035,43.6716699334
1702,2011,"June","Saturday","Evening",0,1,"Glenfield-Jane Heights",-79.5103932184,43.7492116795
1703,2011,"June","Saturday","Evening",0,2,"Englemount-Lawrence",-79.4469400294,43.7225550556
1704,2011,"June","Sunday","Evening",0,1,"Black Creek",-79.5154305147,43.7632268872
1705,2011,"June","Wednesday","Morning",0,0,"Mount Olive-Silverstone-Jamestown",-79.5863663707,43.7325015778
1708,2011,"June","Sunday","Night",0,0,"Mount Olive-Silverstone-Jamestown",-79.5933074634,43.7417808708
1712,2011,"June","Thursday","Evening",0,0,"Glenfield-Jane Heights",-79.506857592,43.7403186417
1713,2011,"June","Thursday","Evening",1,0,"Glenfield-Jane Heights",-79.5164797123,43.7525040815
1714,2011,"June","Saturday","Evening",0,0,"Malvern East",-79.2102104841,43.810730511
1715,2011,"June","Saturday","Night",0,0,"Mount Olive-Silverstone-Jamestown",-79.5933074634,43.7417808708
1719,2011,"June","Sunday","Night",0,0,"Yorkdale-Glen Park",-79.4492335166,43.7205199563
1720,2011,"June","Tuesday","Evening",0,0,"Malvern East",-79.2135407767,43.8062993969
1721,2011,"June","Thursday","Night",0,1,"Yorkdale-Glen Park",-79.4492335166,43.7205199563
1723,2011,"June","Monday","Evening",0,0,"Humbermede",-79.5389048964,43.743031077
1725,2011,"July","Sunday","Evening",0,1,"Rockcliffe-Smythe",-79.4956855971,43.6761978177
1726,2011,"July","Tuesday","Afternoon",0,1,"West Humber-Clairville",-79.5968495949,43.7176323724
1729,2011,"July","Wednesday","Afternoon",0,1,"Malvern East",-79.2135407767,43.8062993969
1730,2011,"July","Thursday","Evening",0,0,"Glenfield-Jane Heights",-79.5168988119,43.7524174814
1731,2011,"July","Monday","Afternoon",0,0,"Black Creek",-79.5096433192,43.7604764866
1733,2011,"July","Monday","Afternoon",0,0,"Black Creek",-79.5096433192,43.7604764866
1735,2011,"July","Friday","Evening",0,1,"Humber Summit",-79.557622987,43.7487902835
1737,2011,"July","Saturday","Evening",0,2,"Dorset Park",-79.2814605155,43.7482186555
1738,2011,"July","Wednesday","Evening",0,0,"Malvern East",-79.2102104841,43.810730511
